szcodes,qa1,q1a1,q1a2,q2,q3,q4,q5,q61,q62,q63,q64,q65,q66,q67,q68,q69,q610,q7,head_name,addresss,phone_number,interviewer_name,date_of_interview,time_of_interview,intercozed,end_time_of_interview,x,zstepcode,lang,headnX,address,interv,phone,caseidX,regionX,districtX,urbrurX,rScore,pov_likelihood,quart,ptile4,phoneStar,select1100,regionID,treatment,caseid,eacode,clust,nh,region,district,urbrur,dwell,hhhead,lango,hhno,locname,headn,newh,addressh,tel1,tel2,tel3,hhsize,listing_hhsize,intcode,cycle,memid,memname,s1q2,s1q3,s1q4dd,s1q4mm,s1q4yy,s1q5y,s1q5m,s1q6,s1q7,s1q8,s1q9,s1q10,s1q10o,s1q11,s1q12,s1q12_2,s1q13,s1q14,s1q15,s1q16,s1q16a,s1q16ao,s1q17,s1q17o,s1q18,s1q19,s1q20,s1q20a,s1q20ao,s1q21,s1q21o,s1q22,s1q23,s1q24,hh,motherTogether,fatherTogether,noReligion,female,age,married,spouseTogether,ageMarried
1093236,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Wood, crop residue, sawdust, animal waste, or other",No,No,one,No,Thank you,PII,PII,PII,PII,18092020,959,109,100025,1,1093236,,PII,PII,109,PII,70906,Brong Ahafo,724,Rural,16,66.800003,6,6,PII,1,7,0,70906,.p,709,6,Brong Ahafo,724,Rural,Yes,Yes,,,,PII,,,.p,.p,,3,3,173,5,1,PII,Male,Head,DK,DK,1955,62,,Married,Yes,2,28,No religion,,Central,Ghanaian by Birth,,Kusasi,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,1,,Yes,06,0,0,1,0,62,1,1,28
1093291,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Wood, crop residue, sawdust, animal waste, or other",No,No,one,No,Thank you,PII,PII,PII,PII,19092020,1331,109,133204,1,1093291,,PII,PII,109,PII,70910,Brong Ahafo,724,Rural,16,66.800003,6,6,PII,1,7,0,70910,.p,709,10,Brong Ahafo,724,Rural,Yes,Yes,,,,PII,,,.p,.p,,4,6,173,5,1,PII,Male,Head,DK,DK,1954,63,,Married,Yes,2,23,Islam,,Ashanti,Ghanaian by Birth,,Kotokoli,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,1,,Yes,10,0,0,0,0,63,1,1,23
1093431,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Wood, crop residue, sawdust, animal waste, or other",No,Only Television,Two,No,Thank you,PII,PII,PII,PII,22092020,1033,109,103724,1,1093431,,PII,PII,109,PII,71104,Brong Ahafo,725,Rural,22,63.799999,5,6,PII,1,7,0,71104,.p,711,4,Brong Ahafo,725,Rural,Yes,Yes,,,,PII,,,.p,.p,,9,8,183,5,1,PII,Male,Head,DK,January,1962,55,,Married,Yes,2,24,No religion,,Brong Ahafo,Ghanaian by Birth,,Boron (Brong) (including Banda),"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,04,0,0,1,0,55,1,1,24
1083175,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Three,Yes,No,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Wood, crop residue, sawdust, animal waste, or other",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,18092020,1426,108,142854,1,1083175,,PII,PII,108,PII,71110,Brong Ahafo,725,Rural,52,7.1999998,1,1,PII,0,7,2,71110,.p,711,10,Brong Ahafo,725,Rural,Yes,Yes,,,,PII,,,.p,.p,,5,5,183,5,1,PII,Male,Head,12,June,1965,51,,Married,Yes,2,25,Protestant,,Upper West,Ghanaian by Birth,,"Dagarte (Dagaba), Lobi , Wali (Wala)","No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,10,0,0,0,0,51,1,1,25
1093426,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","No toilet facility (bush, beach), or other","Wood, crop residue, sawdust, animal waste, or other",No,No,one,No,Thank you,PII,PII,PII,PII,24092020,1143,109,114522,1,1093426,,PII,PII,109,PII,71215,Brong Ahafo,726,Rural,26,53.299999,4,4,PII,1,7,2,71215,.p,712,15,Brong Ahafo,726,Rural,Yes,Yes,,,,PII,,,.p,.p,,2,2,172,8,1,PII,Male,Head,6,March,1986,31,,Married,Yes,2,,Islam,,Brong Ahafo,Ghanaian by Birth,,Boron (Brong) (including Banda),"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,0,,Yes,15,0,0,0,0,31,1,1,
1093366,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Two,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","No toilet facility (bush, beach), or other","Wood, crop residue, sawdust, animal waste, or other",No,No,Two,No,Thank you,PII,PII,PII,PII,21092020,1355,109,140018,1,1093366,,PII,PII,109,PII,71301,Brong Ahafo,727,Rural,45,11.7,2,2,PII,1,7,2,71301,.p,713,1,Brong Ahafo,727,Rural,Yes,Yes,,,,PII,,,.p,.p,,2,2,183,3,1,PII,Male,Head,3,June,1950,66,,Married,No,,33,Pentecostal/Charismatic,,Volta,Ghanaian by Birth,,Ewe,"No, but deceased",,None,,,Production & related works,,"No, but deceased",,None,,,Homemaker,,0,,Yes,01,0,0,0,0,66,1,0,33
1093296,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","No toilet facility (bush, beach), or other","Wood, crop residue, sawdust, animal waste, or other",No,No,one,No,Thank you,PII,PII,PII,PII,18092020,1701,109,170157,1,1093296,,PII,PII,109,PII,71302,Brong Ahafo,727,Rural,26,53.299999,4,5,PII,1,7,2,71302,.p,713,2,Brong Ahafo,727,Rural,Yes,Yes,,,,PII,,,.p,.p,.p,3,3,183,3,1,PII,Male,Head,26,July,1969,47,,Married,Yes,2,25,Pentecostal/Charismatic,,Volta,Ghanaian by Birth,,Ewe,"No, but deceased",,Middle,M4,,Professional/Technical,,"No, but deceased",,Primary,P5,,Production & related works,,0,,Yes,02,0,0,0,0,47,1,1,25
1083086,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,No,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","No toilet facility (bush, beach), or other","None, no cooking",No,Only Television,Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,17092020,1259,108,130100,1,1083086,,PII,PII,108,PII,71304,Brong Ahafo,727,Rural,24,63.799999,5,6,PII,1,7,2,71304,.p,713,4,Brong Ahafo,727,Rural,Yes,Yes,,,,PII,,,.p,.p,,3,3,183,3,1,PII,Male,Head,28,November,1994,22,,Consensual Union,Yes,2,21,No religion,,Volta,Ghanaian by Birth,,Ewe,"No, but alive",,Primary,P6,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,0,,Yes,04,0,0,1,0,22,0,1,21
1083054,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","KVIP, or WC","Wood, crop residue, sawdust, animal waste, or other",No,No,Three+,No,Thank you,PII,PII,PII,PII,17092020,1003,108,100844,1,1083054,,PII,PII,108,PII,71307,Brong Ahafo,727,Rural,28,53.299999,4,5,PII,1,7,1,71307,.p,713,7,Brong Ahafo,727,Rural,Yes,Yes,,,,PII,,,.p,.p,,8,7,183,3,1,PII,Male,Head,DK,DK,1974,42,,Married,Yes,2,20,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,0,,Yes,07,0,0,0,0,42,1,1,20
1103542,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","KVIP, or WC","Wood, crop residue, sawdust, animal waste, or other",Yes,No,Two,No,Thank you,PII,PII,PII,PII,16092020,1919,115,192418,1,1103542,,PII,PII,115,PII,71615,Northern,803,Urban,26,53.299999,4,5,PII,1,8,0,71615,.p,716,15,Northern,803,Urban,Yes,Yes,,,,PII,,,.p,.p,,8,3,194,1,1,PII,Male,Head,1,December,1972,43,,Married,Yes,2,,Islam,,Northern,Ghanaian by Birth,,Gonja,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Homemaker,,0,,Yes,15,0,0,0,0,43,1,1,
