szcodes,qa1,q1a1,q1a2,q2,q3,q4,q5,q61,q62,q63,q64,q65,q66,q67,q68,q69,q610,q7,head_name,addresss,phone_number,interviewer_name,date_of_interview,time_of_interview,intercozed,end_time_of_interview,x,zstepcode,lang,headnX,address,interv,phone,caseidX,regionX,districtX,urbrurX,rScore,pov_likelihood,quart,ptile4,phoneStar,select1100,regionID,treatment,caseid,eacode,clust,nh,region,district,urbrur,dwell,hhhead,lango,hhno,locname,headn,newh,addressh,tel1,tel2,tel3,hhsize,listing_hhsize,intcode,cycle,memid,memname,s1q2,s1q3,s1q4dd,s1q4mm,s1q4yy,s1q5y,s1q5m,s1q6,s1q7,s1q8,s1q9,s1q10,s1q10o,s1q11,s1q12,s1q12_2,s1q13,s1q14,s1q15,s1q16,s1q16a,s1q16ao,s1q17,s1q17o,s1q18,s1q19,s1q20,s1q20a,s1q20ao,s1q21,s1q21o,s1q22,s1q23,s1q24,hh,motherTogether,fatherTogether,noReligion,female,age,married,spouseTogether,ageMarried
1050224,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","No toilet facility (bush, beach), or other","Wood, crop residue, sawdust, animal waste, or other",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,17092020,828,105,83451,1,1050224,Akan,PII,PII,105,PII,102,Western,101,Urban,38,29,5,5,PII,1,1,1,102,.p,1,2,Western,101,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,7,6,12,1,1,PII,Male,Head,28,May,1957,59,,Married,Yes,2,25,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,0,,Yes,02,0,0,0,0,59,1,1,25
1030144,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Two,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,Only Bicycle,Thank you,PII,PII,PII,PII,16092020,1000,103,100303,1,1030144,Akan,PII,PII,103,PII,202,Western,101,Urban,80,0,1,1,PII,0,1,2,202,.p,2,2,Western,101,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,3,3,15,1,1,PII,Male,Head,4,April,1975,41,,Consensual Union,Yes,2,29,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Nzema,"No, but deceased",,Middle,M4,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,1,,Yes,02,0,0,0,0,41,0,1,29
1010017,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Three,No one ages 5 to 17,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Three+,No,Thank you,PII,PII,PII,PII,15092020,1703,101,170545,1,1010017,Akan,PII,PII,101,PII,406,Western,103,Urban,57,4.3000002,2,3,PII,1,1,2,406,.p,4,6,Western,103,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,5,15,3,1,PII,Male,Head,DK,DK,1972,45,,Married,Yes,2,25,Islam,,Western,Ghanaian by Birth,,Nzema,"No, but deceased",,Middle,M4,,Administrative/Managerial,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,06,0,0,0,0,45,1,1,25
1050228,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",one,No,Thank you,PII,PII,PII,PII,16092020,1432,105,143703,1,1050228,Akan,PII,PII,105,PII,411,Western,103,Urban,63,2.2,2,2,PII,1,1,1,411,.p,4,11,Western,103,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,8,15,3,1,PII,Male,Head,27,November,1959,57,,Married,Yes,2,25,Protestant,,Central,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,11,0,0,0,0,57,1,1,25
1070374,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,No,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,17092020,924,107,92748,1,1070374,Akan,PII,PII,107,PII,601,Western,105,Urban,74,.80000001,1,1,PII,0,1,2,601,.p,6,1,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,12,5,1,PII,Male,Head,20,August,1949,67,,Married,Yes,2,33,Catholic,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Don?t know,,,Production & related works,,"No, but alive",,None,,,Sales,,0,,Yes,01,0,0,0,0,67,1,1,33
1020079,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,16092020,1030,102,103339,1,1020079,Akan,PII,PII,102,PII,814,Western,105,Urban,74,.80000001,1,1,PII,0,1,1,814,.p,8,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,5,14,7,1,PII,Male,Head,31,December,1973,43,,Married,Yes,2,35,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Voc/Tech/Comm,Year four,,Administrative/Managerial,,"No, but alive",,Middle,M4,,Service,,0,,Yes,14,0,0,0,0,43,1,1,35
1030110,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Two,Only Bicycle,Thank you,PII,PII,PII,PII,15092020,757,103,75834,1,1030110,Akan,PII,PII,103,PII,903,Western,105,Urban,50,7.1999998,3,4,PII,1,1,0,903,.p,9,3,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,7,12,7,1,PII,Male,Head,28,May,1960,57,,Married,Yes,2,30,Other Christian,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Production & related works,,"No, but deceased",,None,,,Production & related works,,0,,Yes,03,0,0,0,0,57,1,1,30
1060317,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,16092020,30,106,3409,1,1060317,Akan,PII,PII,106,PII,1014,Western,105,Urban,74,.80000001,1,1,PII,0,1,1,1014,.p,10,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,15,10,1,PII,Male,Head,18,July,1961,56,,Married,Yes,2,30,Protestant,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Middle,M4,,Service,,"No, but deceased",,Middle,M4,,Sales,,0,,Yes,14,0,0,0,0,56,1,1,30
1010048,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,16092020,1604,101,160724,1,1010048,Akan,PII,PII,101,PII,1114,Western,105,Urban,67,1.1,1,1,PII,0,1,2,1114,.p,11,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,5,5,13,5,1,PII,Male,Head,22,May,1986,30,,Married,Yes,2,22,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,0,,Yes,14,0,0,0,0,30,1,1,22
1040135,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,15092020,836,104,83701,1,1040135,Ewe,PII,PII,104,PII,1206,Western,105,Urban,43,19.6,5,5,PII,1,1,1,1206,.p,12,6,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,3,13,7,1,PII,Female,Head,3,April,1970,47,,Consensual Union,No,,17,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Ahanta,"No, but deceased",,None,,,Service,,"No, but alive",,None,,,Sales,,0,,Yes,06,0,0,0,1,47,0,0,17
1040256,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","KVIP, or WC","Gas, or electricity",Yes,No,Three+,No,Thank you,PII,PII,PII,PII,15092020,1848,104,185055,1,1040256,Ewe,PII,PII,104,PII,1315,Western,105,Urban,63,2.2,2,2,PII,1,1,0,1315,.p,13,15,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,5,13,8,1,PII,Female,Head,12,May,1986,31,,Married,No,,25,Protestant,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Sales,,0,,Yes,15,0,0,0,1,31,1,0,25
1090451,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Wood, crop residue, sawdust, animal waste, or other",Yes,Only Television,one,No,Thank you,PII,PII,PII,PII,16092020,1746,109,174914,1,1090451,Akan,PII,PII,109,PII,1511,Western,105,Urban,43,19.6,5,5,PII,1,1,2,1511,.p,15,11,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,3,15,6,1,PII,Male,Head,30,April,1984,32,,Married,Yes,2,27,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but alive",,Middle,M4,,Professional/Technical,,"No, but alive",,None,,,Sales,,1,,Yes,11,0,0,0,0,32,1,1,27
1010009,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,Only Television,Two,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,15092020,1450,101,145115,1,1010009,Akan,PII,PII,101,PII,1606,Western,105,Urban,75,.30000001,1,1,PII,0,1,2,1606,.p,16,6,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,5,15,8,1,PII,Male,Head,28,July,1980,36,,Married,Yes,2,25,Protestant,,Central,Ghanaian by Birth,,Fante,"No, but alive",,Middle,M4,,Service,,"No, but deceased",,Middle,M4,,Service,,1,,Yes,06,0,0,0,0,36,1,1,25
1020085,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,No,Thank you,PII,PII,PII,PII,16092020,1059,102,110235,1,1020085,Akan,PII,PII,102,PII,1610,Western,105,Urban,64,2.2,2,2,PII,1,1,2,1610,.p,16,10,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,5,15,8,1,PII,Male,Head,19,September,1990,26,,Married,Yes,2,21,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Sefwi,"No, but deceased",,Middle,M4,,Service,,"No, but alive",,Teacher Training/Agric/ Nursing Cert,Year three,,Service,,1,,Yes,10,0,0,0,0,26,1,1,21
1030162,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Charcoal, or kerosene",Yes,Only Television,one,No,Thank you,PII,PII,PII,PII,17092020,1446,103,144949,1,1030162,Akan,PII,PII,103,PII,1611,Western,105,Urban,55,4.3000002,2,3,PII,1,1,0,1611,.p,16,11,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,2,15,8,1,PII,Female,Head,DK,February,1982,35,,Married,No,,25,Protestant,,Ashanti,Ghanaian by Birth,,Asante,"No, but deceased",,Middle,M4,,Sales,,"No, but deceased",,Middle,M4,,Sales,,1,,Yes,11,0,0,0,1,35,1,0,25
1040169,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,No,Thank you,PII,PII,PII,PII,15092020,849,104,133753,1,1040169,Akan,PII,PII,104,PII,1706,Western,105,Urban,59,4.3000002,2,3,PII,1,1,1,1706,.p,17,6,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,7,12,8,1,PII,Male,Head,19,April,1971,46,,Married,Yes,2,31,Other Christian,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Don?t know,,,Administrative/Managerial,,"No, but alive",,Secondary,S5,,Production & related works,,0,,Yes,06,0,0,0,0,46,1,1,31
1070377,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,No,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,Only Bicycle,Thank you,PII,PII,PII,PII,17092020,955,107,95933,1,1070377,Akan,PII,PII,107,PII,2103,Western,105,Urban,55,4.3000002,2,3,PII,1,1,2,2103,.p,21,3,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,13,9,1,PII,Male,Head,DK,DK,1977,40,,Married,Yes,2,31,Islam,,Western,Ghanaian by Birth,,Mosi,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Sales,,0,,Yes,03,0,0,0,0,40,1,1,31
1020095,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","No toilet facility (bush, beach), or other","Charcoal, or kerosene",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,No,Thank you,PII,PII,PII,PII,16092020,1341,102,134348,1,1020095,Akan,PII,PII,102,PII,2105,Western,105,Urban,48,11.7,4,4,PII,1,1,1,2105,.p,21,5,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,3,13,9,1,PII,Male,Head,DK,DK,1984,33,,Married,Yes,2,27,Islam,,Ashanti,Ghanaian by Birth,,Asante,"No, but alive",,None,,,Service,,"No, but alive",,None,,,Service,,0,,Yes,05,0,0,0,0,33,1,1,27
1010027,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,No one ages 5 to 17,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Charcoal, or kerosene",Yes,Only Television,Three+,No,Thank you,PII,PII,PII,PII,19092020,1255,101,130552,1,1010027,Akan,PII,PII,101,PII,2108,Western,105,Urban,57,4.3000002,2,3,PII,1,1,1,2108,.p,21,8,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,4,13,9,1,PII,Male,Head,7,July,1957,60,,Married,Yes,2,25,Islam,,Northern,Ghanaian by Birth,,Mamprusi,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,08,0,0,0,0,60,1,1,25
1030139,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,16092020,929,103,93233,1,1030139,Akan,PII,PII,103,PII,2210,Western,105,Urban,73,.80000001,1,1,PII,0,1,0,2210,.p,22,10,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,5,14,10,1,PII,Male,Head,24,June,1964,53,,Married,Yes,2,33,Pentecostal/Charismatic,,Ashanti,Ghanaian by Birth,,Asante,"No, but deceased",,Don?t know,,,Don't Know,,"No, but deceased",,Don?t know,,,Agric/Anim Husbandry etc,,0,,Yes,10,0,0,0,0,53,1,1,33
1050270,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,No one ages 5 to 17,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Charcoal, or kerosene",Yes,No,Three+,No,Thank you,PII,PII,PII,PII,17092020,1244,105,125041,1,1050270,Akan,PII,PII,105,PII,2215,Western,105,Urban,50,7.1999998,3,3,PII,1,1,0,2215,.p,22,15,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,8,14,10,1,PII,Male,Head,5,September,1952,65,,Married,Yes,2,22,Catholic,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Middle,M4,,Administrative/Managerial,,"No, but deceased",,None,,,Sales,,0,,Yes,15,0,0,0,0,65,1,1,22
1010043,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Three,No one ages 5 to 17,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,Only Television,Three+,No,Thank you,PII,PII,PII,PII,16092020,1245,101,124826,1,1010043,English,PII,PII,101,PII,2314,Western,105,Urban,78,.30000001,1,1,PII,0,1,0,2314,.p,23,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,3,3,14,9,1,PII,Male,Head,26,August,1952,64,,Married,Yes,2,26,Other Christian,,Central,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,0,,Yes,14,0,0,0,0,64,1,1,26
1100496,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,No,Thank you,PII,PII,PII,PII,15092020,1822,115,182537,1,1100496,Akan,PII,PII,115,PII,2404,Western,105,Urban,57,4.3000002,2,3,PII,1,1,0,2404,.p,24,4,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,8,8,12,10,1,PII,Male,Head,16,September,1969,48,,Married,Yes,2,23,Protestant,,Western,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Service,,"No, but alive",,None,,,Sales,,0,,Yes,04,0,0,0,0,48,1,1,23
1020064,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,Only Television,Three+,Only Bicycle,Thank you,PII,PII,PII,PII,15092020,1502,102,150547,1,1020064,Akan,PII,PII,102,PII,2501,Western,105,Urban,63,2.2,2,2,PII,1,1,0,2501,.p,25,1,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,7,14,6,1,PII,Male,Head,7,March,1967,50,,Married,Yes,2,32,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Service,,"No, but deceased",,Middle,M4,,Sales,,0,,Yes,01,0,0,0,0,50,1,1,32
1060312,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,15092020,2349,106,235149,1,1060312,Akan,PII,PII,106,PII,2515,Western,105,Urban,63,2.2,2,2,PII,1,1,0,2515,.p,25,15,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,4,5,14,6,1,PII,Male,Head,1,January,1953,64,,Married,Yes,2,25,Catholic,,Ashanti,Ghanaian by Birth,,Asante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,0,,Yes,15,0,0,0,0,64,1,1,25
1090474,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Gas, or electricity",No,Only Television,one,No,Thank you,PII,PII,PII,PII,16092020,1552,109,160223,1,1090474,Akan,PII,PII,109,PII,2607,Western,105,Urban,53,7.1999998,3,4,PII,1,1,1,2607,.p,26,7,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,12,9,1,PII,Male,Head,21,November,1948,68,,Married,Yes,2,27,Other Christian,,Western,Ghanaian by Birth,,Ahanta,"No, but deceased",,Don?t know,,,Service,,"No, but deceased",,None,,,Service,,0,,Yes,07,0,0,0,0,68,1,1,27
1020075,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,15092020,1534,102,153756,1,1020075,Akan,PII,PII,102,PII,2612,Western,105,Urban,73,.80000001,1,1,PII,0,1,0,2612,.p,26,12,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,5,12,9,1,PII,Male,Head,2,June,1974,43,,Married,Yes,2,28,No religion,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Don?t know,,,Professional/Technical,,"No, but alive",,None,,,Sales,,1,,Yes,12,0,0,1,0,43,1,1,28
1090455,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",No,No,one,No,Thank you,PII,PII,PII,PII,16092020,1051,109,105707,1,1090455,Akan,PII,PII,109,PII,2704,Western,105,Urban,37,29,5,5,PII,1,1,0,2704,.p,27,4,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,6,12,6,1,PII,Male,Head,DK,DK,1980,37,,Married,Yes,2,22,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Ahanta,"No, but deceased",,Don?t know,,,Agric/Anim Husbandry etc,,"No, but deceased",,Don?t know,,,Agric/Anim Husbandry etc,,0,,Yes,04,0,0,0,0,37,1,1,22
1070345,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,16092020,1138,107,114510,1,1070345,Akan,PII,PII,107,PII,2707,Western,105,Urban,49,11.7,4,4,PII,1,1,2,2707,.p,27,7,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,5,12,6,1,PII,Male,Head,DK,DK,1976,40,,Consensual Union,Yes,2,,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Ahanta,"No, but deceased",,Don?t know,,,Professional/Technical,,"No, but alive",,Don?t know,,,Agric/Anim Husbandry etc,,0,,Yes,07,0,0,0,0,40,0,1,
1090483,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Wood, crop residue, sawdust, animal waste, or other",Yes,Only Television,one,No,Thank you,PII,PII,PII,PII,16092020,1714,109,171711,1,1090483,Akan,PII,PII,109,PII,2906,Western,106,Urban,48,11.7,4,4,PII,1,1,2,2906,.p,29,6,Western,106,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,4,4,32,1,1,PII,Male,Head,15,April,1973,43,,Married,Yes,2,29,Catholic,,Greater Accra,Ghanaian by Birth,,Fante,"No, but alive",,Primary,P3,,Administrative/Managerial,,"No, but alive",,Primary,P3,,Sales,,0,,Yes,06,0,0,0,0,43,1,1,29
1090476,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Wood, crop residue, sawdust, animal waste, or other",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,21092020,2129,109,213142,1,1090476,Akan,PII,PII,109,PII,2910,Western,106,Urban,45,11.7,4,4,PII,1,1,2,2910,.p,29,10,Western,106,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,6,5,32,1,1,PII,Male,Head,1,November,1975,40,,Married,Yes,2,25,Pentecostal/Charismatic,,Other Ecowas,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Sales,,0,,Yes,10,0,0,0,0,40,1,1,25
1070362,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Charcoal, or kerosene",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,16092020,1530,107,153711,1,1070362,Akan,PII,PII,107,PII,3002,Western,108,Urban,55,4.3000002,2,2,PII,1,1,0,3002,.p,30,2,Western,108,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,5,11,32,3,1,PII,Male,Head,4,March,1958,58,,Married,Yes,2,32,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Nzema,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Sales,,2,,Yes,02,0,0,0,0,58,1,1,32
